coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,100,458,0.333,0.473
-1.8,100,462,0.333,0.477
-1.6,100,466,0.333,0.481
-1.4,100,466,0.333,0.481
-1.2,101,465,0.337,0.48
-1.0,102,470,0.34,0.485
-0.8,105,470,0.35,0.485
-0.6,108,468,0.36,0.483
-0.4,114,471,0.38,0.486
-0.2,119,472,0.397,0.487
0.0,119,470,0.397,0.485
0.2,128,472,0.427,0.487
0.4,134,470,0.447,0.485
0.6,133,460,0.443,0.475
0.8,146,455,0.487,0.47
1.0,156,455,0.52,0.47
1.2,163,451,0.543,0.465
1.4,171,443,0.57,0.457
1.6,169,443,0.563,0.457
1.8,177,429,0.59,0.443
2.0,176,418,0.587,0.431
