coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,125,460,0.417,0.475
-1.8,126,460,0.42,0.475
-1.6,126,468,0.42,0.483
-1.4,127,464,0.423,0.479
-1.2,129,465,0.43,0.48
-1.0,132,464,0.44,0.479
-0.8,135,466,0.45,0.481
-0.6,145,469,0.483,0.484
-0.4,153,467,0.51,0.482
-0.2,157,470,0.523,0.485
0.0,160,470,0.533,0.485
0.2,160,469,0.533,0.484
0.4,162,469,0.54,0.484
0.6,167,462,0.557,0.477
0.8,166,456,0.553,0.471
1.0,173,460,0.577,0.475
1.2,178,458,0.593,0.473
1.4,175,454,0.583,0.469
1.6,176,441,0.587,0.455
1.8,177,437,0.59,0.451
2.0,170,428,0.567,0.442
