coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,128,475,0.427,0.49
-1.8,130,474,0.433,0.489
-1.6,130,475,0.433,0.49
-1.4,131,474,0.437,0.489
-1.2,131,470,0.437,0.485
-1.0,133,469,0.443,0.484
-0.8,136,473,0.453,0.488
-0.6,136,473,0.453,0.488
-0.4,140,475,0.467,0.49
-0.2,146,471,0.487,0.486
0.0,147,470,0.49,0.485
0.2,153,469,0.51,0.484
0.4,159,465,0.53,0.48
0.6,161,463,0.537,0.478
0.8,164,452,0.547,0.466
1.0,169,447,0.563,0.461
1.2,177,436,0.59,0.45
1.4,183,437,0.61,0.451
1.6,181,428,0.603,0.442
1.8,182,426,0.607,0.44
2.0,186,419,0.62,0.432
