coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,105,469,0.35,0.484
-1.8,106,470,0.353,0.485
-1.6,106,468,0.353,0.483
-1.4,112,469,0.373,0.484
-1.2,118,466,0.393,0.481
-1.0,120,466,0.4,0.481
-0.8,128,467,0.427,0.482
-0.6,134,467,0.447,0.482
-0.4,139,471,0.463,0.486
-0.2,146,471,0.487,0.486
0.0,152,470,0.507,0.485
0.2,162,466,0.54,0.481
0.4,169,471,0.563,0.486
0.6,180,464,0.6,0.479
0.8,194,458,0.647,0.473
1.0,199,456,0.663,0.471
1.2,210,453,0.7,0.467
1.4,212,448,0.707,0.462
1.6,215,441,0.717,0.455
1.8,219,441,0.73,0.455
2.0,221,426,0.737,0.44
