coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,101,457,0.337,0.472
-1.8,102,457,0.34,0.472
-1.6,100,460,0.333,0.475
-1.4,100,464,0.333,0.479
-1.2,100,464,0.333,0.479
-1.0,102,465,0.34,0.48
-0.8,104,467,0.347,0.482
-0.6,107,467,0.357,0.482
-0.4,114,470,0.38,0.485
-0.2,117,469,0.39,0.484
0.0,119,470,0.397,0.485
0.2,129,471,0.43,0.486
0.4,134,470,0.447,0.485
0.6,134,460,0.447,0.475
0.8,149,461,0.497,0.476
1.0,158,447,0.527,0.461
1.2,166,446,0.553,0.46
1.4,167,443,0.557,0.457
1.6,167,437,0.557,0.451
1.8,175,423,0.583,0.437
2.0,178,408,0.593,0.421
