coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,117,462,0.39,0.477
-1.8,118,460,0.393,0.475
-1.6,119,461,0.397,0.476
-1.4,122,460,0.407,0.475
-1.2,121,459,0.403,0.474
-1.0,130,465,0.433,0.48
-0.8,134,469,0.447,0.484
-0.6,143,469,0.477,0.484
-0.4,153,468,0.51,0.483
-0.2,158,468,0.527,0.483
0.0,160,470,0.533,0.485
0.2,158,467,0.527,0.482
0.4,163,466,0.543,0.481
0.6,165,461,0.55,0.476
0.8,165,456,0.55,0.471
1.0,171,458,0.57,0.473
1.2,172,452,0.573,0.466
1.4,173,453,0.577,0.467
1.6,171,443,0.57,0.457
1.8,171,436,0.57,0.45
2.0,170,428,0.567,0.442
