coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,83,32,0.277,0.033
-1.8,72,24,0.24,0.025
-1.6,64,41,0.213,0.042
-1.4,96,93,0.32,0.096
-1.2,100,174,0.333,0.18
-1.0,124,275,0.413,0.284
-0.8,127,366,0.423,0.378
-0.6,125,419,0.417,0.432
-0.4,128,450,0.427,0.464
-0.2,133,458,0.443,0.473
0.0,141,470,0.47,0.485
0.2,140,470,0.467,0.485
0.4,143,460,0.477,0.475
0.6,150,439,0.5,0.453
0.8,165,407,0.55,0.42
1.0,165,342,0.55,0.353
1.2,121,254,0.403,0.262
1.4,66,86,0.22,0.089
1.6,43,11,0.143,0.011
1.8,6,8,0.02,0.008
2.0,1,8,0.003,0.008
