coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,62,64,0.207,0.066
-1.8,71,44,0.237,0.045
-1.6,65,32,0.217,0.033
-1.4,83,70,0.277,0.072
-1.2,93,173,0.31,0.179
-1.0,135,282,0.45,0.291
-0.8,172,374,0.573,0.386
-0.6,174,421,0.58,0.434
-0.4,172,455,0.573,0.47
-0.2,168,459,0.56,0.474
0.0,167,470,0.557,0.485
0.2,167,466,0.557,0.481
0.4,174,460,0.58,0.475
0.6,183,436,0.61,0.45
0.8,197,390,0.657,0.402
1.0,196,317,0.653,0.327
1.2,139,226,0.463,0.233
1.4,56,61,0.187,0.063
1.6,45,5,0.15,0.005
1.8,27,5,0.09,0.005
2.0,0,5,0.0,0.005
