k-num-sentences,bias-ratio,coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
10,1.0,-2.0,131,468,0.437,0.483
10,1.0,-1.8,130,470,0.433,0.485
10,1.0,-1.6,129,471,0.43,0.486
10,1.0,-1.4,129,469,0.43,0.484
10,1.0,-1.2,128,469,0.427,0.484
10,1.0,-1.0,129,471,0.43,0.486
10,1.0,-0.8,130,474,0.433,0.489
10,1.0,-0.6,126,475,0.42,0.49
10,1.0,-0.4,123,472,0.41,0.487
10,1.0,-0.2,126,474,0.42,0.489
10,1.0,0.0,128,470,0.427,0.485
10,1.0,0.2,129,468,0.43,0.483
10,1.0,0.4,125,467,0.417,0.482
10,1.0,0.6,127,465,0.423,0.48
10,1.0,0.8,125,460,0.417,0.475
10,1.0,1.0,125,453,0.417,0.467
10,1.0,1.2,126,455,0.42,0.47
10,1.0,1.4,131,450,0.437,0.464
10,1.0,1.6,127,450,0.423,0.464
10,1.0,1.8,131,441,0.437,0.455
10,1.0,2.0,133,436,0.443,0.45
