k-num-sentences,bias-ratio,coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
10,1.0,-2.0,107,457,0.357,0.472
10,1.0,-1.8,110,456,0.367,0.471
10,1.0,-1.6,111,460,0.37,0.475
10,1.0,-1.4,110,464,0.367,0.479
10,1.0,-1.2,110,464,0.367,0.479
10,1.0,-1.0,111,465,0.37,0.48
10,1.0,-0.8,111,468,0.37,0.483
10,1.0,-0.6,111,468,0.37,0.483
10,1.0,-0.4,112,470,0.373,0.485
10,1.0,-0.2,115,469,0.383,0.484
10,1.0,0.0,117,470,0.39,0.485
10,1.0,0.2,123,471,0.41,0.486
10,1.0,0.4,131,470,0.437,0.485
10,1.0,0.6,136,460,0.453,0.475
10,1.0,0.8,140,461,0.467,0.476
10,1.0,1.0,142,447,0.473,0.461
10,1.0,1.2,148,447,0.493,0.461
10,1.0,1.4,149,443,0.497,0.457
10,1.0,1.6,150,437,0.5,0.451
10,1.0,1.8,157,424,0.523,0.438
10,1.0,2.0,159,408,0.53,0.421
