k-num-sentences,bias-ratio,coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
10,1.0,-2.0,109,462,0.363,0.477
10,1.0,-1.8,113,460,0.377,0.475
10,1.0,-1.6,114,461,0.38,0.476
10,1.0,-1.4,114,460,0.38,0.475
10,1.0,-1.2,114,459,0.38,0.474
10,1.0,-1.0,114,465,0.38,0.48
10,1.0,-0.8,120,469,0.4,0.484
10,1.0,-0.6,126,470,0.42,0.485
10,1.0,-0.4,128,469,0.427,0.484
10,1.0,-0.2,130,469,0.433,0.484
10,1.0,0.0,134,470,0.447,0.485
10,1.0,0.2,144,466,0.48,0.481
10,1.0,0.4,143,464,0.477,0.479
10,1.0,0.6,146,460,0.487,0.475
10,1.0,0.8,144,457,0.48,0.472
10,1.0,1.0,138,458,0.46,0.473
10,1.0,1.2,138,452,0.46,0.466
10,1.0,1.4,136,454,0.453,0.469
10,1.0,1.6,138,443,0.46,0.457
10,1.0,1.8,142,436,0.473,0.45
10,1.0,2.0,141,427,0.47,0.441
