k-num-sentences,bias-ratio,coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
10,1.0,-2.0,115,475,0.383,0.49
10,1.0,-1.8,117,478,0.39,0.493
10,1.0,-1.6,118,478,0.393,0.493
10,1.0,-1.4,119,472,0.397,0.487
10,1.0,-1.2,123,470,0.41,0.485
10,1.0,-1.0,121,468,0.403,0.483
10,1.0,-0.8,123,473,0.41,0.488
10,1.0,-0.6,122,471,0.407,0.486
10,1.0,-0.4,130,472,0.433,0.487
10,1.0,-0.2,129,470,0.43,0.485
10,1.0,0.0,129,470,0.43,0.485
10,1.0,0.2,134,470,0.447,0.485
10,1.0,0.4,136,469,0.453,0.484
10,1.0,0.6,138,463,0.46,0.478
10,1.0,0.8,138,454,0.46,0.469
10,1.0,1.0,141,448,0.47,0.462
10,1.0,1.2,141,439,0.47,0.453
10,1.0,1.4,139,436,0.463,0.45
10,1.0,1.6,142,432,0.473,0.446
10,1.0,1.8,147,423,0.49,0.437
10,1.0,2.0,149,412,0.497,0.425
