k-num-sentences,bias-ratio,coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
10,1.0,-2.0,116,450,0.387,0.464
10,1.0,-1.8,116,452,0.387,0.466
10,1.0,-1.6,117,462,0.39,0.477
10,1.0,-1.4,121,460,0.403,0.475
10,1.0,-1.2,122,459,0.407,0.474
10,1.0,-1.0,124,462,0.413,0.477
10,1.0,-0.8,125,462,0.417,0.477
10,1.0,-0.6,124,463,0.413,0.478
10,1.0,-0.4,127,465,0.423,0.48
10,1.0,-0.2,126,468,0.42,0.483
10,1.0,0.0,128,470,0.427,0.485
10,1.0,0.2,130,475,0.433,0.49
10,1.0,0.4,131,478,0.437,0.493
10,1.0,0.6,130,480,0.433,0.495
10,1.0,0.8,131,478,0.437,0.493
10,1.0,1.0,127,473,0.423,0.488
10,1.0,1.2,129,474,0.43,0.489
10,1.0,1.4,128,472,0.427,0.487
10,1.0,1.6,128,474,0.427,0.489
10,1.0,1.8,128,478,0.427,0.493
10,1.0,2.0,128,471,0.427,0.486
