k-num-sentences,bias-ratio,coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
10,1.0,-2.0,89,473,0.297,0.488
10,1.0,-1.8,93,471,0.31,0.486
10,1.0,-1.6,96,468,0.32,0.483
10,1.0,-1.4,97,469,0.323,0.484
10,1.0,-1.2,100,470,0.333,0.485
10,1.0,-1.0,102,471,0.34,0.486
10,1.0,-0.8,102,474,0.34,0.489
10,1.0,-0.6,103,473,0.343,0.488
10,1.0,-0.4,106,472,0.353,0.487
10,1.0,-0.2,109,473,0.363,0.488
10,1.0,0.0,113,470,0.377,0.485
10,1.0,0.2,115,469,0.383,0.484
10,1.0,0.4,116,467,0.387,0.482
10,1.0,0.6,118,468,0.393,0.483
10,1.0,0.8,117,456,0.39,0.471
10,1.0,1.0,121,447,0.403,0.461
10,1.0,1.2,129,446,0.43,0.46
10,1.0,1.4,132,445,0.44,0.459
10,1.0,1.6,137,439,0.457,0.453
10,1.0,1.8,141,431,0.47,0.445
10,1.0,2.0,143,424,0.477,0.438
