k-num-sentences,bias-ratio,coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
10,1.0,-2.0,0,32,0.0,0.033
10,1.0,-1.8,4,24,0.013,0.025
10,1.0,-1.6,50,40,0.167,0.041
10,1.0,-1.4,81,92,0.27,0.095
10,1.0,-1.2,102,173,0.34,0.179
10,1.0,-1.0,100,274,0.333,0.283
10,1.0,-0.8,119,366,0.397,0.378
10,1.0,-0.6,116,419,0.387,0.432
10,1.0,-0.4,108,449,0.36,0.463
10,1.0,-0.2,112,457,0.373,0.472
10,1.0,0.0,110,470,0.367,0.485
10,1.0,0.2,115,470,0.383,0.485
10,1.0,0.4,117,460,0.39,0.475
10,1.0,0.6,120,439,0.4,0.453
10,1.0,0.8,117,407,0.39,0.42
10,1.0,1.0,106,342,0.353,0.353
10,1.0,1.2,48,254,0.16,0.262
10,1.0,1.4,19,86,0.063,0.089
10,1.0,1.6,0,11,0.0,0.011
10,1.0,1.8,0,8,0.0,0.008
10,1.0,2.0,3,8,0.01,0.008
