k-num-sentences,bias-ratio,coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
10,1.0,-2.0,0,64,0.0,0.066
10,1.0,-1.8,5,44,0.017,0.045
10,1.0,-1.6,62,32,0.207,0.033
10,1.0,-1.4,97,70,0.323,0.072
10,1.0,-1.2,101,173,0.337,0.179
10,1.0,-1.0,102,282,0.34,0.291
10,1.0,-0.8,118,374,0.393,0.386
10,1.0,-0.6,152,421,0.507,0.434
10,1.0,-0.4,146,455,0.487,0.47
10,1.0,-0.2,152,459,0.507,0.474
10,1.0,0.0,153,470,0.51,0.485
10,1.0,0.2,148,466,0.493,0.481
10,1.0,0.4,149,460,0.497,0.475
10,1.0,0.6,152,436,0.507,0.45
10,1.0,0.8,152,390,0.507,0.402
10,1.0,1.0,105,317,0.35,0.327
10,1.0,1.2,56,226,0.187,0.233
10,1.0,1.4,39,61,0.13,0.063
10,1.0,1.6,3,5,0.01,0.005
10,1.0,1.8,5,5,0.017,0.005
10,1.0,2.0,36,5,0.12,0.005
