coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,134,469,0.447,0.484
-1.8,134,470,0.447,0.485
-1.6,134,471,0.447,0.486
-1.4,134,468,0.447,0.483
-1.2,133,470,0.443,0.485
-1.0,128,469,0.427,0.484
-0.8,130,473,0.433,0.488
-0.6,129,472,0.43,0.487
-0.4,130,471,0.433,0.486
-0.2,130,473,0.433,0.488
0.0,136,470,0.453,0.485
0.2,149,469,0.497,0.484
0.4,152,467,0.507,0.482
0.6,154,466,0.513,0.481
0.8,156,458,0.52,0.473
1.0,157,452,0.523,0.466
1.2,155,454,0.517,0.469
1.4,158,450,0.527,0.464
1.6,157,450,0.523,0.464
1.8,157,440,0.523,0.454
2.0,158,435,0.527,0.449
