coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,115,468,0.383,0.483
-1.8,114,469,0.38,0.484
-1.6,112,472,0.373,0.487
-1.4,116,475,0.387,0.49
-1.2,117,473,0.39,0.488
-1.0,118,471,0.393,0.486
-0.8,124,466,0.413,0.481
-0.6,126,468,0.42,0.483
-0.4,128,470,0.427,0.485
-0.2,125,464,0.417,0.479
0.0,122,470,0.407,0.485
0.2,125,466,0.417,0.481
0.4,128,467,0.427,0.482
0.6,130,465,0.433,0.48
0.8,134,458,0.447,0.473
1.0,140,458,0.467,0.473
1.2,144,457,0.48,0.472
1.4,153,452,0.51,0.466
1.6,160,447,0.533,0.461
1.8,168,440,0.56,0.454
2.0,169,424,0.563,0.438
