coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,101,478,0.337,0.493
-1.8,102,478,0.34,0.493
-1.6,104,475,0.347,0.49
-1.4,106,473,0.353,0.488
-1.2,109,470,0.363,0.485
-1.0,113,471,0.377,0.486
-0.8,116,472,0.387,0.487
-0.6,124,474,0.413,0.489
-0.4,126,475,0.42,0.49
-0.2,134,474,0.447,0.489
0.0,141,470,0.47,0.485
0.2,143,468,0.477,0.483
0.4,147,465,0.49,0.48
0.6,149,459,0.497,0.474
0.8,155,452,0.517,0.466
1.0,163,453,0.543,0.467
1.2,168,448,0.56,0.462
1.4,175,448,0.583,0.462
1.6,175,444,0.583,0.458
1.8,180,440,0.6,0.454
2.0,178,437,0.593,0.451
