coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,125,474,0.417,0.489
-1.8,125,478,0.417,0.493
-1.6,127,479,0.423,0.494
-1.4,128,473,0.427,0.488
-1.2,129,471,0.43,0.486
-1.0,130,468,0.433,0.483
-0.8,135,473,0.45,0.488
-0.6,135,472,0.45,0.487
-0.4,139,472,0.463,0.487
-0.2,146,470,0.487,0.485
0.0,147,470,0.49,0.485
0.2,153,469,0.51,0.484
0.4,158,469,0.527,0.484
0.6,161,463,0.537,0.478
0.8,166,454,0.553,0.469
1.0,167,448,0.557,0.462
1.2,173,439,0.577,0.453
1.4,184,437,0.613,0.451
1.6,183,432,0.61,0.446
1.8,180,422,0.6,0.436
2.0,185,412,0.617,0.425
