coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,124,450,0.413,0.464
-1.8,126,452,0.42,0.466
-1.6,125,462,0.417,0.477
-1.4,122,460,0.407,0.475
-1.2,122,461,0.407,0.476
-1.0,121,462,0.403,0.477
-0.8,123,461,0.41,0.476
-0.6,127,463,0.423,0.478
-0.4,130,465,0.433,0.48
-0.2,130,468,0.433,0.483
0.0,136,470,0.453,0.485
0.2,143,474,0.477,0.489
0.4,151,477,0.503,0.492
0.6,154,479,0.513,0.494
0.8,155,478,0.517,0.493
1.0,157,472,0.523,0.487
1.2,155,474,0.517,0.489
1.4,156,472,0.52,0.487
1.6,154,475,0.513,0.49
1.8,153,477,0.51,0.492
2.0,151,472,0.503,0.487
