coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,100,473,0.333,0.488
-1.8,102,471,0.34,0.486
-1.6,108,469,0.36,0.484
-1.4,107,467,0.357,0.482
-1.2,110,470,0.367,0.485
-1.0,114,470,0.38,0.485
-0.8,115,475,0.383,0.49
-0.6,118,473,0.393,0.488
-0.4,120,473,0.4,0.488
-0.2,125,470,0.417,0.485
0.0,122,470,0.407,0.485
0.2,125,469,0.417,0.484
0.4,128,467,0.427,0.482
0.6,135,468,0.45,0.483
0.8,137,456,0.457,0.471
1.0,141,448,0.47,0.462
1.2,143,446,0.477,0.46
1.4,151,445,0.503,0.459
1.6,160,439,0.533,0.453
1.8,165,431,0.55,0.445
2.0,172,424,0.573,0.438
