coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,130,461,0.433,0.476
-1.8,128,462,0.427,0.477
-1.6,126,466,0.42,0.481
-1.4,126,463,0.42,0.478
-1.2,125,464,0.417,0.479
-1.0,127,465,0.423,0.48
-0.8,130,469,0.433,0.484
-0.6,135,471,0.45,0.486
-0.4,140,470,0.467,0.485
-0.2,144,468,0.48,0.483
0.0,152,470,0.507,0.485
0.2,165,466,0.55,0.481
0.4,176,463,0.587,0.478
0.6,192,459,0.64,0.474
0.8,197,455,0.657,0.47
1.0,203,457,0.677,0.472
1.2,208,452,0.693,0.466
1.4,216,443,0.72,0.457
1.6,226,434,0.753,0.448
1.8,227,427,0.757,0.441
2.0,225,411,0.75,0.424
