layer,bbq_correct,bbq_accuracy
1,8,0.02666666666666667
2,112,0.37333333333333335
3,155,0.5166666666666667
4,135,0.45
5,138,0.46
6,142,0.47333333333333333
7,128,0.4266666666666667
8,125,0.4166666666666667
9,121,0.4033333333333333
10,105,0.35
11,125,0.4166666666666667
12,123,0.41
13,153,0.51
14,156,0.52
15,151,0.5033333333333333
16,133,0.44333333333333336
17,133,0.44333333333333336
18,133,0.44333333333333336
19,119,0.39666666666666667
20,119,0.39666666666666667
21,119,0.39666666666666667
22,119,0.39666666666666667
23,119,0.39666666666666667
24,119,0.39666666666666667
25,119,0.39666666666666667
26,119,0.39666666666666667
27,119,0.39666666666666667
28,119,0.39666666666666667
29,119,0.39666666666666667
30,118,0.3933333333333333
31,119,0.39666666666666667
