layer,bbq_correct,bbq_accuracy
1,9,0.03
2,113,0.37666666666666665
3,153,0.51
4,128,0.4266666666666667
5,133,0.44333333333333336
6,140,0.4666666666666667
7,123,0.41
8,123,0.41
9,115,0.38333333333333336
10,100,0.3333333333333333
11,123,0.41
12,120,0.4
13,157,0.5233333333333333
14,158,0.5266666666666666
15,154,0.5133333333333333
16,132,0.44
17,133,0.44333333333333336
18,132,0.44
19,120,0.4
20,119,0.39666666666666667
21,119,0.39666666666666667
22,119,0.39666666666666667
23,119,0.39666666666666667
24,119,0.39666666666666667
25,119,0.39666666666666667
26,119,0.39666666666666667
27,119,0.39666666666666667
28,119,0.39666666666666667
29,118,0.3933333333333333
30,118,0.3933333333333333
31,119,0.39666666666666667
