layer,bbq_correct,bbq_accuracy
1,4,0.013333333333333334
2,98,0.32666666666666666
3,96,0.32
4,147,0.49
5,157,0.5233333333333333
6,148,0.49333333333333335
7,141,0.47
8,132,0.44
9,144,0.48
10,162,0.54
11,161,0.5366666666666666
12,157,0.5233333333333333
13,173,0.5766666666666667
14,166,0.5533333333333333
15,163,0.5433333333333333
16,161,0.5366666666666666
17,159,0.53
18,162,0.54
19,163,0.5433333333333333
20,161,0.5366666666666666
21,161,0.5366666666666666
22,161,0.5366666666666666
23,161,0.5366666666666666
24,159,0.53
25,159,0.53
26,159,0.53
27,160,0.5333333333333333
28,160,0.5333333333333333
29,160,0.5333333333333333
30,160,0.5333333333333333
31,161,0.5366666666666666
