layer,bbq_correct,bbq_accuracy
1,4,0.013333333333333334
2,107,0.3566666666666667
3,96,0.32
4,150,0.5
5,154,0.5133333333333333
6,151,0.5033333333333333
7,139,0.4633333333333333
8,136,0.4533333333333333
9,142,0.47333333333333333
10,152,0.5066666666666667
11,160,0.5333333333333333
12,162,0.54
13,171,0.57
14,167,0.5566666666666666
15,162,0.54
16,160,0.5333333333333333
17,159,0.53
18,165,0.55
19,165,0.55
20,162,0.54
21,161,0.5366666666666666
22,162,0.54
23,163,0.5433333333333333
24,161,0.5366666666666666
25,161,0.5366666666666666
26,159,0.53
27,160,0.5333333333333333
28,160,0.5333333333333333
29,160,0.5333333333333333
30,161,0.5366666666666666
31,160,0.5333333333333333
