layer,bbq_correct,bbq_accuracy
1,22,0.07333333333333333
2,97,0.3233333333333333
3,146,0.4866666666666667
4,148,0.49333333333333335
5,151,0.5033333333333333
6,141,0.47
7,149,0.49666666666666665
8,140,0.4666666666666667
9,143,0.4766666666666667
10,141,0.47
11,158,0.5266666666666666
12,159,0.53
13,168,0.56
14,169,0.5633333333333334
15,159,0.53
16,157,0.5233333333333333
17,158,0.5266666666666666
18,158,0.5266666666666666
19,147,0.49
20,144,0.48
21,143,0.4766666666666667
22,143,0.4766666666666667
23,143,0.4766666666666667
24,143,0.4766666666666667
25,144,0.48
26,144,0.48
27,145,0.48333333333333334
28,145,0.48333333333333334
29,145,0.48333333333333334
30,145,0.48333333333333334
31,145,0.48333333333333334
