layer,bbq_correct,bbq_accuracy
1,21,0.07
2,97,0.3233333333333333
3,140,0.4666666666666667
4,147,0.49
5,151,0.5033333333333333
6,136,0.4533333333333333
7,147,0.49
8,140,0.4666666666666667
9,135,0.45
10,137,0.4566666666666666
11,156,0.52
12,159,0.53
13,163,0.5433333333333333
14,167,0.5566666666666666
15,162,0.54
16,159,0.53
17,159,0.53
18,158,0.5266666666666666
19,146,0.4866666666666667
20,145,0.4833333333333333
21,143,0.4766666666666667
22,143,0.4766666666666667
23,144,0.48
24,144,0.48
25,144,0.48
26,144,0.48
27,145,0.48333333333333334
28,145,0.48333333333333334
29,145,0.48333333333333334
30,145,0.48333333333333334
31,149,0.49666666666666665
