layer,bbq_correct,bbq_accuracy
1,11,0.03666666666666667
2,90,0.3
3,140,0.4666666666666667
4,134,0.44666666666666666
5,143,0.4766666666666667
6,130,0.43333333333333335
7,129,0.43
8,149,0.49666666666666665
9,139,0.4633333333333333
10,132,0.44
11,153,0.51
12,147,0.49
13,147,0.49
14,157,0.5233333333333333
15,152,0.5066666666666667
16,153,0.51
17,154,0.5133333333333333
18,152,0.5066666666666667
19,143,0.4766666666666667
20,144,0.48
21,144,0.48
22,142,0.47333333333333333
23,141,0.47
24,142,0.47333333333333333
25,141,0.47
26,141,0.47
27,140,0.4666666666666667
28,139,0.4633333333333333
29,139,0.4633333333333333
30,139,0.4633333333333333
31,139,0.4633333333333333
