layer,bbq_correct,bbq_accuracy
1,14,0.04666666666666667
2,88,0.29333333333333333
3,141,0.47
4,130,0.43333333333333335
5,142,0.47333333333333333
6,131,0.43666666666666665
7,129,0.43
8,135,0.45
9,135,0.45
10,127,0.42333333333333334
11,148,0.49333333333333335
12,152,0.5066666666666667
13,149,0.49666666666666665
14,155,0.5166666666666667
15,151,0.5033333333333333
16,155,0.5166666666666667
17,157,0.5233333333333333
18,151,0.5033333333333333
19,144,0.48
20,144,0.48
21,144,0.48
22,140,0.4666666666666667
23,140,0.4666666666666667
24,141,0.47
25,141,0.47
26,141,0.47
27,140,0.4666666666666667
28,138,0.46
29,139,0.4633333333333333
30,139,0.4633333333333333
31,139,0.4633333333333333
