layer,bbq_correct,bbq_accuracy
1,1,0.0033333333333333
2,109,0.3633333333333333
3,110,0.3666666666666666
4,124,0.4133333333333333
5,120,0.4
6,122,0.4066666666666667
7,114,0.38
8,110,0.36666666666666664
9,123,0.41
10,133,0.44333333333333336
11,124,0.41333333333333333
12,130,0.43333333333333335
13,140,0.4666666666666667
14,139,0.4633333333333333
15,134,0.44666666666666666
16,130,0.43333333333333335
17,132,0.44
18,130,0.43333333333333335
19,125,0.4166666666666667
20,126,0.42
21,126,0.42
22,125,0.4166666666666667
23,127,0.42333333333333334
24,127,0.42333333333333334
25,125,0.4166666666666667
26,124,0.41333333333333333
27,123,0.41
28,123,0.41
29,124,0.41333333333333333
30,124,0.41333333333333333
31,124,0.41333333333333333
