layer,bbq_correct,bbq_accuracy
1,1,0.0033333333333333335
2,105,0.35
3,111,0.37
4,123,0.41
5,126,0.42
6,128,0.4266666666666667
7,118,0.3933333333333333
8,109,0.36333333333333334
9,119,0.39666666666666667
10,129,0.43
11,127,0.42333333333333334
12,132,0.44
13,140,0.4666666666666667
14,141,0.47
15,135,0.45
16,132,0.44
17,134,0.44666666666666666
18,134,0.44666666666666666
19,125,0.4166666666666667
20,126,0.42
21,127,0.42333333333333334
22,126,0.42
23,126,0.42
24,126,0.42
25,124,0.41333333333333333
26,123,0.41
27,123,0.41
28,124,0.41333333333333333
29,124,0.41333333333333333
30,123,0.41
31,122,0.4066666666666667
