layer,bbq_correct,bbq_accuracy
1,0,0.0
2,98,0.3266666666666666
3,161,0.5366666666666666
4,127,0.4233333333333333
5,143,0.4766666666666667
6,138,0.46
7,128,0.4266666666666667
8,144,0.48
9,148,0.4933333333333333
10,132,0.44
11,139,0.4633333333333333
12,143,0.4766666666666667
13,159,0.53
14,163,0.5433333333333333
15,153,0.51
16,144,0.48
17,146,0.4866666666666667
18,142,0.4733333333333333
19,140,0.4666666666666667
20,143,0.4766666666666667
21,142,0.4733333333333333
22,140,0.4666666666666667
23,140,0.4666666666666667
24,140,0.4666666666666667
25,140,0.4666666666666667
26,140,0.4666666666666667
27,140,0.4666666666666667
28,140,0.4666666666666667
29,140,0.4666666666666667
30,140,0.4666666666666667
31,140,0.4666666666666667
