layer,bbq_correct,bbq_accuracy
1,0,0.0
2,102,0.34
3,164,0.5466666666666666
4,131,0.4366666666666666
5,145,0.4833333333333333
6,133,0.4433333333333333
7,125,0.4166666666666667
8,144,0.48
9,140,0.4666666666666667
10,129,0.43
11,139,0.4633333333333333
12,134,0.44666666666666666
13,162,0.54
14,156,0.52
15,150,0.5
16,136,0.4533333333333333
17,145,0.48333333333333334
18,143,0.4766666666666667
19,141,0.47
20,141,0.47
21,139,0.4633333333333333
22,140,0.4666666666666667
23,140,0.4666666666666667
24,140,0.4666666666666667
25,140,0.4666666666666667
26,141,0.47
27,141,0.47
28,140,0.4666666666666667
29,140,0.4666666666666667
30,141,0.47
31,139,0.4633333333333333
