layer,bbq_correct,bbq_accuracy
1,0,0.0
2,98,0.32666666666666666
3,200,0.6666666666666666
4,179,0.5966666666666667
5,176,0.5866666666666667
6,157,0.5233333333333333
7,169,0.5633333333333334
8,176,0.5866666666666667
9,168,0.56
10,153,0.51
11,174,0.58
12,177,0.59
13,191,0.6366666666666667
14,183,0.61
15,183,0.61
16,174,0.58
17,171,0.57
18,172,0.5733333333333334
19,166,0.5533333333333333
20,165,0.55
21,167,0.5566666666666666
22,167,0.5566666666666666
23,166,0.5533333333333333
24,165,0.55
25,166,0.5533333333333333
26,166,0.5533333333333333
27,165,0.55
28,165,0.55
29,164,0.5466666666666666
30,165,0.55
31,165,0.55
