layer,bbq_correct,bbq_accuracy
1,0,0.0
2,104,0.3466666666666667
3,196,0.6533333333333333
4,180,0.6
5,172,0.5733333333333334
6,154,0.5133333333333333
7,163,0.5433333333333333
8,175,0.5833333333333334
9,169,0.5633333333333334
10,152,0.5066666666666667
11,166,0.5533333333333333
12,182,0.6066666666666667
13,193,0.6433333333333333
14,188,0.6266666666666667
15,186,0.62
16,172,0.5733333333333334
17,173,0.5766666666666667
18,172,0.5733333333333334
19,165,0.55
20,165,0.55
21,165,0.55
22,166,0.5533333333333333
23,166,0.5533333333333333
24,166,0.5533333333333333
25,167,0.5566666666666666
26,165,0.55
27,165,0.55
28,166,0.5533333333333333
29,165,0.55
30,165,0.55
31,167,0.5566666666666666
