layer,bbq_correct,bbq_accuracy
1,0,0.0
2,94,0.31333333333333335
3,189,0.63
4,143,0.4766666666666667
5,151,0.5033333333333333
6,138,0.46
7,141,0.47
8,150,0.5
9,137,0.45666666666666667
10,133,0.44333333333333336
11,152,0.5066666666666667
12,158,0.5266666666666666
13,198,0.66
14,199,0.6633333333333333
15,195,0.65
16,168,0.56
17,184,0.6133333333333333
18,174,0.58
19,160,0.5333333333333333
20,159,0.53
21,156,0.52
22,157,0.5233333333333333
23,156,0.52
24,155,0.5166666666666667
25,157,0.5233333333333333
26,155,0.5166666666666667
27,154,0.5133333333333333
28,152,0.5066666666666667
29,153,0.51
30,153,0.51
31,153,0.51
