layer,bbq_correct,bbq_accuracy
1,1,0.0033333333333333335
2,94,0.31333333333333335
3,179,0.5966666666666667
4,151,0.5033333333333333
5,142,0.47333333333333333
6,142,0.47333333333333333
7,152,0.5066666666666667
8,165,0.55
9,118,0.3933333333333333
10,121,0.4033333333333333
11,138,0.46
12,146,0.4866666666666667
13,203,0.6766666666666666
14,197,0.6566666666666666
15,193,0.6433333333333333
16,168,0.56
17,185,0.6166666666666667
18,178,0.5933333333333334
19,156,0.52
20,155,0.5166666666666667
21,153,0.51
22,154,0.5133333333333333
23,154,0.5133333333333333
24,153,0.51
25,154,0.5133333333333333
26,153,0.51
27,154,0.5133333333333333
28,153,0.51
29,154,0.5133333333333333
30,153,0.51
31,155,0.5166666666666667
