layer,sep_score
1,0.5399999999999999
2,0.5433333333333333
3,0.5349999999999999
4,0.5683333333333334
5,0.5483333333333333
6,0.5549999999999999
7,0.5533333333333333
8,0.5516666666666666
9,0.5316666666666666
10,0.525
11,0.6516666666666666
12,0.705
13,0.7583333333333334
14,0.7533333333333333
15,0.755
16,0.7516666666666667
17,0.7516666666666667
18,0.7550000000000001
19,0.7516666666666667
20,0.75
21,0.7483333333333333
22,0.7483333333333333
23,0.74
24,0.74
25,0.7433333333333332
26,0.7433333333333332
27,0.7383333333333333
28,0.71
29,0.7183333333333334
30,0.7316666666666667
31,0.715
