layer,sep_score
1,0.5399999999999999
2,0.5416666666666667
3,0.5499999999999999
4,0.565
5,0.55
6,0.5533333333333333
7,0.5449999999999999
8,0.5716666666666667
9,0.535
10,0.54
11,0.625
12,0.7033333333333334
13,0.74
14,0.72
15,0.725
16,0.7266666666666666
17,0.7366666666666666
18,0.7333333333333333
19,0.7283333333333334
20,0.725
21,0.725
22,0.7316666666666667
23,0.7216666666666667
24,0.7116666666666667
25,0.705
26,0.6849999999999999
27,0.6833333333333333
28,0.67
29,0.675
30,0.6766666666666667
31,0.6799999999999999
