layer,sep_score
1,0.4616666666666667
2,0.4533333333333333
3,0.46333333333333326
4,0.475
5,0.5
6,0.5016666666666667
7,0.4833333333333333
8,0.48166666666666663
9,0.4883333333333334
10,0.5866666666666667
11,0.6933333333333334
12,0.6699999999999999
13,0.7766666666666666
14,0.7633333333333333
15,0.7283333333333333
16,0.7366666666666666
17,0.7333333333333334
18,0.735
19,0.73
20,0.7533333333333333
21,0.765
22,0.7533333333333333
23,0.7533333333333333
24,0.75
25,0.7550000000000001
26,0.7549999999999999
27,0.7549999999999999
28,0.7516666666666666
29,0.7466666666666666
30,0.75
31,0.75
