layer,sep_score
1,0.5933333333333333
2,0.5933333333333333
3,0.5933333333333333
4,0.59
5,0.5900000000000001
6,0.5900000000000001
7,0.5783333333333334
8,0.595
9,0.5633333333333334
10,0.595
11,0.6549999999999999
12,0.6516666666666666
13,0.7233333333333334
14,0.72
15,0.78
16,0.76
17,0.7666666666666667
18,0.7649999999999999
19,0.7583333333333333
20,0.765
21,0.7683333333333333
22,0.7716666666666667
23,0.7649999999999999
24,0.76
25,0.7666666666666666
26,0.7616666666666666
27,0.7649999999999999
28,0.7616666666666666
29,0.7616666666666666
30,0.7633333333333333
31,0.755
