layer,sep_score
1,0.54
2,0.54
3,0.5383333333333333
4,0.5166666666666666
5,0.53
6,0.5266666666666666
7,0.5416666666666667
8,0.545
9,0.5266666666666667
10,0.5066666666666666
11,0.68
12,0.675
13,0.75
14,0.7500000000000001
15,0.7716666666666667
16,0.7583333333333334
17,0.7549999999999999
18,0.7533333333333333
19,0.7316666666666667
20,0.7316666666666666
21,0.7316666666666666
22,0.7266666666666667
23,0.7283333333333334
24,0.72
25,0.72
26,0.7066666666666667
27,0.705
28,0.7100000000000001
29,0.7083333333333333
30,0.7016666666666667
31,0.7016666666666667
