layer,sep_score
1,0.4050000000000001
2,0.4133333333333333
3,0.41166666666666674
4,0.41666666666666663
5,0.41000000000000003
6,0.41833333333333333
7,0.42833333333333334
8,0.4600000000000001
9,0.47166666666666657
10,0.6633333333333333
11,0.7383333333333334
12,0.7533333333333333
13,0.8366666666666667
14,0.8266666666666668
15,0.82
16,0.8066666666666666
17,0.8016666666666665
18,0.79
19,0.79
20,0.7933333333333334
21,0.7866666666666666
22,0.7866666666666667
23,0.79
24,0.79
25,0.7833333333333334
26,0.7983333333333335
27,0.8
28,0.8016666666666667
29,0.7966666666666666
30,0.7933333333333333
31,0.7833333333333332
