layer,sep_score
1,0.49000000000000005
2,0.4833333333333333
3,0.48
4,0.4833333333333334
5,0.4916666666666667
6,0.5166666666666666
7,0.525
8,0.5266666666666666
9,0.4800000000000001
10,0.52
11,0.6599999999999999
12,0.6733333333333333
13,0.7266666666666667
14,0.73
15,0.7283333333333333
16,0.72
17,0.715
18,0.7183333333333334
19,0.695
20,0.6849999999999999
21,0.6783333333333333
22,0.675
23,0.6666666666666667
24,0.6666666666666667
25,0.665
26,0.6666666666666667
27,0.6649999999999999
28,0.6566666666666666
29,0.6616666666666667
30,0.685
31,0.6866666666666666
