layer,sep_score
1,0.5416666666666667
2,0.48
3,0.485
4,0.5
5,0.5066666666666666
6,0.53
7,0.51
8,0.54
9,0.5216666666666667
10,0.5066666666666666
11,0.5733333333333335
12,0.6316666666666666
13,0.7216666666666667
14,0.7433333333333334
15,0.7450000000000001
16,0.7066666666666666
17,0.705
18,0.7133333333333333
19,0.7150000000000001
20,0.6916666666666668
21,0.7183333333333334
22,0.7266666666666668
23,0.7283333333333333
24,0.7266666666666668
25,0.7283333333333333
26,0.735
27,0.7366666666666667
28,0.7316666666666666
29,0.7316666666666666
30,0.7316666666666666
31,0.7316666666666667
