layer,sep_score
1,0.5416666666666666
2,0.44666666666666666
3,0.4833333333333334
4,0.5133333333333333
5,0.54
6,0.525
7,0.5283333333333334
8,0.5566666666666666
9,0.55
10,0.5083333333333333
11,0.5266666666666666
12,0.6033333333333333
13,0.7033333333333334
14,0.7083333333333334
15,0.7316666666666668
16,0.6833333333333333
17,0.6983333333333335
18,0.6916666666666667
19,0.6900000000000001
20,0.6866666666666668
21,0.6633333333333333
22,0.665
23,0.6666666666666666
24,0.6716666666666666
25,0.6900000000000001
26,0.7016666666666667
27,0.6983333333333334
28,0.71
29,0.7166666666666667
30,0.7233333333333333
31,0.715
